time_bucket,building,clientCount
1620997500000,22-TNW-TN,134
1620997500000,23-CITG,95
1620997500000,25-GreenVillage,25
1620997500000,26-Bouwcampus,21
1620997500000,28- WNI,3
1620997500000,30-IKC_ISD-FMVG,44
1620997500000,30-O S,0
1620997500000,31-TBM,3
1620997500000,32-OCP-IO,10
1620997500000,32a- Learninglab,0
1620997500000,33-Pulse,194
1620997500000,34-3ME,29
1620997500000,35-Drebbelweg,1
1620997500000,36-ESP-Lab,7
1620997500000,36-EWI LB_K t/m 3 & HB_K  t/m 2e ,39
1620997500000,36-EWI-HB,2
1620997500000,37-Sportcentrum,27
1620997500000,38-Cultureel Centrum,1
1620997500000,43-EGM,3
1620997500000,45-LSL,6
1620997500000,46-P E lab,40
1620997500000,50-TNW-RID,16
1620997500000,58-TNW-Zuid,88
1620997500000,60-LMS,1
1620997500000,61-Vliegtuighal,3
1620997500000,62-LR,5
1620997500000,63-Simona,0
1620997500000,64-HSL,0
1620997500000,66-Fellowship,0
1620997500000,Katalyse Labaratorium,1
1620997500000,Unknown,4
1620997500000,VLL-LAB(TNO),6
1620997800000,03-Science Center,41
1620997800000,05-TNW-BIO,3
1620997800000,08-BK-City,6
1620997800000,19-Studuitzendbureau,2
1620997800000,20-Aula,19
1620997800000,21-BTUD,274
1620997800000,22-TNW-TN,135
1620997800000,23-CITG,102
1620997800000,25-GreenVillage,23
1620997800000,26-Bouwcampus,21
1620997800000,28- WNI,3
1620997800000,30-IKC_ISD-FMVG,44
1620997800000,30-O S,0
1620997800000,31-TBM,3
1620997800000,32-OCP-IO,14
1620997800000,32a- Learninglab,0
1620997800000,33-Pulse,190
1620997800000,34-3ME,32
1620997800000,35-Drebbelweg,1
1620997800000,36-ESP-Lab,6
1620997800000,36-EWI LB_K t/m 3 & HB_K  t/m 2e ,37
1620997800000,36-EWI-HB,2
1620997800000,37-Sportcentrum,25
1620997800000,38-Cultureel Centrum,5
1620997800000,43-EGM,3
1620997800000,45-LSL,7
1620997800000,46-P E lab,42
1620997800000,50-TNW-RID,15
1620997800000,58-TNW-Zuid,84
1620997800000,60-LMS,2
1620997800000,61-Vliegtuighal,4
1620997800000,62-LR,5
1620997800000,63-Simona,0
1620997800000,64-HSL,0
1620997800000,66-Fellowship,0
1620997800000,Katalyse Labaratorium,3
1620997800000,Unknown,7
1620997800000,VLL-LAB(TNO),6
1620998100000,03-Science Center,40
1620998100000,05-TNW-BIO,2
1620998100000,08-BK-City,5
1620998100000,19-Studuitzendbureau,1
1620998100000,20-Aula,24
1620998100000,21-BTUD,271
1620998100000,22-TNW-TN,127
1620998100000,23-CITG,102
1620998100000,25-GreenVillage,24
1620998100000,26-Bouwcampus,21
1620998100000,28- WNI,4
1620998100000,30-IKC_ISD-FMVG,44
1620998100000,30-O S,1
1620998100000,31-TBM,3
1620998100000,32-OCP-IO,13
1620998100000,32a- Learninglab,0
1620998100000,33-Pulse,189
1620998100000,34-3ME,37
1620998100000,35-Drebbelweg,1
1620998100000,36-ESP-Lab,6
1620998100000,36-EWI LB_K t/m 3 & HB_K  t/m 2e ,39
1620998100000,36-EWI-HB,4
1620998100000,37-Sportcentrum,23
1620998100000,38-Cultureel Centrum,0
1620998100000,43-EGM,2
1620998100000,45-LSL,6
1620998100000,46-P E lab,42
1620998100000,50-TNW-RID,15
